tweet_id	class	begin	end	span	tweet
SMM4H2022yW4mXhmCE9gh1B7b	ADE	28	37	allergies	"do you have any medication allergies? ""asthma!!!"" me: ""........"" pt: ""no wait. avelox, that's it!"" ""so no other allergies?"" ""right!"" *cont"
SMM4H2022afMxPjtHKyItF0n3	ADE	31	46	HURT YOUR Liver	@USER_________ if #avelox has hurt your liver, avoid tylenol always, as it further damages liver, eat grapefruit unless taking cardiac drugs
SMM4H2022dc1lWHnZeBy441B8	ADE	48	50	AD	"apparently, baclofen greatly exacerbates the ""ad"" part of my adhd. average length of focus today: about 30 seconds."
SMM4H2022dc1lWHnZeBy441B8	ADE	88	93	focus	"apparently, baclofen greatly exacerbates the ""ad"" part of my adhd. average length of focus today: about 30 seconds."
SMM4H2022ExV2GXXaqhGjJNFM	ADE	11	15	died	pt of mine died from cipro rt @USER_________: @USER_____ if only more doctors thought like you! i lost my entire life to 12 cipro pills
SMM4H2022dZ7ZqyvGqxh0jKeH	ADE	40	44	died	@USER_____ The only pt of mine who ever died was one age 21 profound autism chronic underwt & GI issues, given lots of Cipro. Terrible
SMM4H202221svYY3nNe8z5jdE	ADE	66	79	tendon damage	owww. i hurt my foot. &amp; am concerned. 1st warning on cipro is tendon damage. :-/ it certainly wasn't a rupture. i'm sure i'm just paranoid.
SMM4H2022TktK7f4NNPqLzVWl	ADE	26	32	dreams	@USER______ oh robitussin dreams are notorious. although what will really turn 'em into a bunuel movie is cipro.
SMM4H2022E8PLU8eznkYN0dlx	ADE	84	98	tendon rupture	#eds friends! anybody taken #cipro? (antibiotic) complications?? big side effect is tendon rupture...figured my dr would know better?
SMM4H2022FxzK9r9cEII1gmaJ	ADE	101	111	withdrawal	@USER___________ Umm, are you being a smart-ass? Dont mess with me right now. Going through Cymbalta withdrawal I think & Im VERY depressed.
SMM4H20222QPvF36FzxCLJe8l	ADE	13	27	emotional mess	today i'm an emotional mess. that's what happens when i think i could wean myself off of cymbalta.
SMM4H2022o9R8zCvDwlfSI87k	ADE	17	29	not remember	losing it. could not remember the word power strip. wonder which drug is doing this memory lapse thing. my guess the cymbalta. #helps
SMM4H2022o9R8zCvDwlfSI87k	ADE	84	96	memory lapse	losing it. could not remember the word power strip. wonder which drug is doing this memory lapse thing. my guess the cymbalta. #helps
SMM4H20224CdAz4uAODp4fESt	ADE	5	8	nap	that nap was on point.... cymbalta did that shit cuz i dont take naps...ever
SMM4H2022aJS4BaMKlXI0KeI5	ADE	71	82	psychedelic	@USER___________ cymbalta. 3x the dosage i was once on...everything is psychedelic and yuck. still grateful for meds!
SMM4H2022LsJR4tzc0A5eTQB4	ADE	94	100	mashed	@USER____ @USER________ i'm taking 700mg pregablin and 60 mg duloxetine hence why i'm totally mashed
SMM4H2022H46enMioMkbcxr0A	ADE	66	77	space cadet	note to self: do not take #fluoxetine and #aleved together. i'm a space cadet today!  #druginteractions
SMM4H202247Y6GjkNElgjxDKM	ADE	38	51	illness worse	I'm sure this fluoxetine is making my illness worse, especially since I can't eat..
SMM4H202247Y6GjkNElgjxDKM	ADE	72	81	can't eat	I'm sure this fluoxetine is making my illness worse, especially since I can't eat..
SMM4H2022nAYZ3hTd7VxYMKZC	ADE	30	38	allergic	rt @USER___: finding out i'm allergic to fluoxetine was a bit of a shock tho. mind, only someone from yorkshire could be actually allergic '
SMM4H2022pJ8eplYSKrDUKhBg	ADE	127	138	withdrawals	i took 11 pills of geodon i was rushed to the hospital they had to stick a tube up my nose ugh never again i feel so bad today withdrawals.
SMM4H2022VlNSwqfn2B6lekK9	ADE	41	47	hungry	so the geodon is what made me so frickin hungry all the time cause i've eaten very little these past few days.
SMM4H2022q1fnCS4S7ckk1qUv	ADE	104	114	joint pain	@USER___________ it was explained to me that all the anti-tnfs can bring out other issues. i had severe joint pain on humira &amp; remicaid
SMM4H2022uycEAFWkndlu2r3e	ADE	61	68	fistula	@USER__________ @USER____ i feel your pain :(  just got 1st #fistula urgh ! humira worked for me for just 3months then got painful reactions
SMM4H2022uycEAFWkndlu2r3e	ADE	123	140	painful reactions	@USER__________ @USER____ i feel your pain :(  just got 1st #fistula urgh ! humira worked for me for just 3months then got painful reactions
SMM4H2022LCONWDHIHZaerIEz	ADE	98	105	fatigue	The day after Humira used to be a great one, full of energy, low pain. After a month, it is now a fatigue filled achy day. #rheum
SMM4H2022LCONWDHIHZaerIEz	ADE	113	117	achy	The day after Humira used to be a great one, full of energy, low pain. After a month, it is now a fatigue filled achy day. #rheum
SMM4H20220Fn1PRrRkP70pjI5	ADE	112	119	fatigue	rt @USER___: the day after humira used to be a great one, full of energy, low pain. after a month, it is now a fatigue filled achy day. #rh'
SMM4H20220Fn1PRrRkP70pjI5	ADE	127	131	achy	rt @USER___: the day after humira used to be a great one, full of energy, low pain. after a month, it is now a fatigue filled achy day. #rh'
