	id	text	orig_begin	orig_end	orig_span	orig_span_convert	predict_span	predict_begin	predict_end
0	SMM4H20221fZluiIo0whXaJA6	@USER____ i found it hard coming off venlafaxine. definitely agree that running helps: it's the only thing that has kept me drug-free. ever!	26	36	coming off	coming off	hard coming off venlafaxine. definitely agree that running helps: it's the only thing that has kept me drug-free	21	133
1	SMM4H2022aIYAHWf4HBgj52hp	why is my brain so retarded when my vyvanse wears off?	10	27	brain so retarded	brain so retarded	brain so retarded when my vyvanse wears off	10	53
2	SMM4H20226b5WyZPTAJ7qL3dE	rt @USER_______: @USE when are you going to do true life: i am addicted to vyvanse?	63	71	addicted	addicted	addicted	63	71
3	SMM4H2022qZC2BPG2BW7UC175	rt @USER_______: vyvanse, commonly known as ocd in a pill.	45	48	OCD	ocd	ommonly known as ocd	27	47
4	SMM4H20220mSmvlK5h4hXJNh9	trying to distract with masterchef, twitter, texting &amp; candy crush but i'm anxious &amp; have stomach &amp; head pain #venlafaxine #withdrawal	113	122	head pain	head pain	pain	117	121
5	SMM4H2022Ktwet43odUtXgxNZ	@USER_____ olanzapine is another anti-psychotic medication. it works on my bipolar but makes me binge eat	96	105	binge eat	binge eat	binge eat	96	105
6	SMM4H20220mSmvlK5h4hXJNh9	trying to distract with masterchef, twitter, texting &amp; candy crush but i'm anxious &amp; have stomach &amp; head pain #venlafaxine #withdrawal	99	106	stomach	stomach	pain	117	121
7	SMM4H2022UAvDTQWOIacvBkzp	rt @USER_______: my philly dr prescribed me trazodone,1pill made me so fkn sick, couldnt move 2day.xtreme migraine, puke, shakes. any1else '	107	115	migraine	migraine		0	0
8	SMM4H2022FupUyp3V1qkdfaQW	@USER________ dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.	36	44	confused	confused	dizzy	14	19
9	SMM4H2022TIrTKWWfCAO02Uli	@USER___________ i cant sleep im having a well bad nicotine craving	60	67	craving	craving	cant sleep im having a well bad nicotine craving	19	67
10	SMM4H2022UAvDTQWOIacvBkzp	rt @USER_______: my philly dr prescribed me trazodone,1pill made me so fkn sick, couldnt move 2day.xtreme migraine, puke, shakes. any1else '	76	80	sick	sick		0	0
11	SMM4H2022a2hde3adQrDE2HIV	debating on taking a trazodone and literally passing out for the day.	45	56	passing out	passing out	passing out	45	56
12	SMM4H2022HKMAb7UyA9DBgC0X	almost vomited on a zinc lozenge #yuk	0	14	Almost vomited	almost vomited	vomited	7	14
13	SMM4H20229Aha6m4XERqYdFWf	06.30 day 14 Rivaroxaban diary. Thanks to paracetamol and hot water bottle I had 4 hrs continuous sleep. Woke uo with frontal headache, 1/2	118	134	frontal headache	frontal headache	headache	126	134
14	SMM4H2022RKHfXCWIZXEAIC6c	3 red bulls, 2 vyvanse, no sleep = shit feeling	25	33	no sleep	no sleep	sleep = shit feeling	27	47
15	SMM4H2022SDuYUDOiLTAqQMki	well played tysabri...kicking butt #nosleep.	36	43	nosleep	nosleep	kicking butt #nosleep	22	43
16	SMM4H2022UGqZXi74Aq6rkF4J	the pathway of cipro is definitely murdering my mind right now ? #donedonedone	35	52	murdering my mind	murdering my mind	murdering my mind	35	52
17	SMM4H2022w1Dip50oWfNYBVdo	does cipro make anyone's else's brain turn to mush or am i actually just going crazy?	32	50	brain turn to mush	brain turn to mush	's else's brain turn to mush or am i actually just going crazy	22	84
18	SMM4H2022rZ604dAppHEgW0eE	@USER__________ isn't zyprexa also called olanzapine, if so ppl need to be careful of side effects &amp;addiction, can do more harm than good	105	114	addiction	addiction	addiction	104	113
19	SMM4H2022lX1A8RVuySkDzAB2	between the fucking redbull and vyvanse i popped to energize my triple yesterday... couldn't fall asleep for the life of me.	84	104	couldn't fall asleep	couldn't fall asleep	couldn't fall asleep	84	104
20	SMM4H2022GEEGMyvixhP65MzB	@USER______ because i realized vyvanse after a certain time of taking it increased my anxiety and made me more irrational.	86	93	anxiety	anxiety	anxiety	86	93
21	SMM4H2022UAvDTQWOIacvBkzp	rt @USER_______: my philly dr prescribed me trazodone,1pill made me so fkn sick, couldnt move 2day.xtreme migraine, puke, shakes. any1else '	123	129	shakes	shakes		0	0
22	SMM4H2022eUHEdYa9HaG1N9d7	@USER_________ hi i was on humira for 4 months worked great until i got sick last week. don't know if i will go back on it or not.	72	76	sick	sick	sick	72	76
23	SMM4H2022FupUyp3V1qkdfaQW	@USER________ dizzy, out if it and confused on the drugs.  upping the baclofen slowly now as i seem better on these.	22	31	out if it	out if it	dizzy	14	19
24	SMM4H2022uCZV2SRsCe4vzjFm	@USER__________ have to go to a doc now to see why i'm still gaining. stupid paxil made me gain like 50 pounds ?? and now i have to lose it	61	68	gaining	gaining	gaining. stupid paxil made me gain like 50 pounds ?? and now i have to lose it	61	139
25	SMM4H2022Pnl1fVP8pycgcugd	@USER______ I appreciate it. I gained over 30lbs with Paxil so I'm trying something different, tired of the appetite side effects.	31	48	gained over 30lbs	gained over 30lbs	gained over 30lbs with Paxil so I'm trying something different, tired of the appetite	31	116
26	SMM4H2022nWG1t3YGOaL80SEc	one of the things i hate most about quetiapine is when i take it for the first few hours i slur my words, so people assume i'm merely drunk.	91	95	slur	slur	slur my words, so people assume i'm merely drunk	91	139
27	SMM4H2022OjDAlww1rH9bbUhW	08.26 day 14 rivaroxaban diary. just been to cut some wild roses down so workmen can easily get to part of my garage. intense back pain.	126	135	back pain	back pain	back pain	126	135
28	SMM4H20228zyP7ZWneGoetY6M	@USER________ i tried coming off my olanzapine twice in the past 3 years without telling my psych - unfortunately too difficult to come off!	118	139	difficult to come off	difficult to come off	coming off my olanzapine twice in the past 3 years without telling my psych - unfortunately too difficult to come	22	135
